$#!+,shit
304,hoe
1337,elite
4311,hell
7734,hell
8008,boob
31337,elite
80085,boobs
313373,elite
8008135,boobies
:)book,Facebook
@,at
@$$,ass
@$$ #013,asshole
@$$hole,asshole
@h,asshole
*g*,grin
*s*,smile
/.,Slashdot
^,up
<3,love
>3,love
$$,money
$h!t,shit
$xy,sexy
10tacle,tentacle
10x,thanks
12b,wannabe
133t,elite
13itch,bitch
1ab,wannabe
1daful,wonderful
1dering,wondering
1nce,once
2dae,today
2day,today
2ge4,together
2getha,together
2gether,together
2gethr,together
2getr,together
2k0,2000
2k1,2001
2k4,2004
2k6,2006
2k7,2007
2k8,2008
2k9,2009
2m,tomorrow
2ma,tomorrow
2maro,tomorrow
2mmrw,tomorrow
2mo,tomorrow
2mora,tomorrow
2moro,tomorrow
2morow,tomorrow
2morro,tomorrow
2morrow,tomorrow
2moz,tomorrow
2mozz,tomorrow
2mro,tomorrow
2mrw,tomorrow
2mw,tomorrow
2mz,tomorrow
2night,tonight
2nite,tonight
2nyt,tonight
2sday,Tuesday
2tali,totally
31ee7,elite
3vi1,evil
42n8,fortunate
4eva,forever
4ever,forever
4evr,forever
4evs,forever
4g8,forget
4get,forget
4give,forgive
4got,forgot
4gv,forgive
4head,forehead
4ker,fucker
4king,fucking
4m,form
4n,phone
4rm,from
4ward,forward
4wd,forward
5-oh,cop
53x,sex
5h17,shit
5n,fine
5o,police
6y,sexy
7uck,fuck
81tc#,bitch
9009l3,Google
9t,night
a'ight,alright
a/s/l,age
a/s/l/p,age
a/s/l/r,age
a$$,ass
a3,anyplace
aboot,about
absnt,absent
abt,about
abwt,about
acc,account
acct,account
ack,acknowledged
addy,address
admin,administrator
af,assface
agn,again
ah,asshole
ahole,asshole
aight,alright
aightz,alright
aite,alright
anim8,animate
anon,anonymous
anuda,another
anw,anyways
any1,anyone
anywaz,anyways
app,application
appt,appointment
aprece8,appreciate
apreci8,appreciate
ar,are
arnd,around
arse,ass
arsed,bothered
